iter	Passed	Remaining
928	990	75
929	990	74
930	991	73
931	993	72
932	994	71
933	997	70
934	998	69
935	999	68
936	1000	67
937	1000	66
938	1001	65
939	1002	63
940	1003	62
941	1004	61
942	1004	60
943	1005	59
944	1006	58
945	1007	57
946	1008	56
947	1009	55
948	1012	54
949	1013	53
950	1014	52
951	1014	51
952	1015	50
953	1016	49
954	1017	47
955	1017	46
956	1018	45
957	1019	44
958	1020	43
959	1021	42
960	1021	41
961	1023	40
962	1024	39
963	1026	38
964	1027	37
965	1028	36
966	1029	35
967	1030	34
968	1030	32
969	1031	31
970	1032	30
971	1033	29
972	1034	28
973	1035	27
974	1037	26
975	1040	25
976	1041	24
977	1042	23
978	1043	22
979	1044	21
980	1045	20
981	1046	19
982	1047	18
983	1048	17
984	1048	15
985	1049	14
986	1050	13
987	1051	12
988	1052	11
989	1056	10
990	1057	9
991	1057	8
992	1058	7
993	1059	6
994	1059	5
995	1060	4
996	1061	3
997	1062	2
998	1062	1
999	1063	0
